song,artist
Same Old Thing,Albert Collins
Voodoo Doll,Fergie
Nerio Compra Una Contestadora,Los Amigos Invisibles
Killer (Single Version),Seal
Sunset Manifesto,Flink
From My Hands,Salt The Wound
Tanz,ZENFU
Coming Back For More feat. Colin Corvez,Daniel Paul
Paradise In Your Eyes,Winston Reedy
Isku Pitkästä Ilosta,Korpiklaani
The Way I Am,Eminem
One More Ride (Digitally Remastered),Johnny Cash
Can't Help Falling In Love,Brian Dullaghan
Drunk Driving Tip,Dezz White
Que Vuelvas,Shakira
I'm In The Mood For Love,Roger Williams
Yesterdays,Gonzalo Rubalcaba
Concertino for Bass Trombone and Trombone Choir,David Taylor
De Tha Mai Edo,Domna Kountouri
Rachel's retribution,Anne Dudley
A Goodnight's Sleep,The Starting Line
Mui Mal_ Animal,L.A.V.I
Cup Horn,TEN MADISON
Am I That Easy To Forget,Carl Belew
Vitamina,Sonora Carruseles
The Haunting,The Misfits
All or Nothin' Gal,Jessie Lee Miller
Some Kind Of Zombie (Criscoteque Remix),Audio Adrenaline
A Veces Hablo De Ti,Tito Allen
Old Fashioned Baby,Pee Wee Crayton
Just Say Yes,Dickies
Faithkeeper_ Part 1,David & Steve Gordon
Children Of Love,Abijah
Afro Profondo,Daniela Dessì
Lihava enkeli,Murskahumppa
Killing Me Softly With His Song,CoCo Lee
Girl You Need My Love,Doniki
Love Theme (The Falling In Love),Burt Bacharach
Roller Derby,Leon Russell
Are You Ever Gonna Love Me?,Jimmy Wayne
Turn Up The Bass,Fast Eddie featuring Kool Rock
So deep,Ann Lee
Collecting Dust,Life Long Tragedy
You Had Me From Hello (Lullaby Rendition of Kenny Chesney),Hushabye Baby
Nothing's Clear (Album Version),Ill Nino
You Must Do Your Best Tonight / I Represent/Animal Crackers,The Marx Brothers
French Suite: A Paris Thing,William Goldstein
Oh Scat Mix Up,Tim Exile
The Modern World,The Jam
I'm Not A Loser,Descendents
De Paris Un Caballero,Barbarito Diez
T-Ball and Indian Guides (LP Version),Bill Engvall
La Rue Du Babouin,Françoise Hardy - Maurane
Big Bounce,David Arkenstone
Summer Summer,The Almost
Bubblin' (Anita Demo),Camp Lo
Couldn't Stand The Weather,Stevie Ray Vaughan And Double Trouble
In Style,David Johansen
Closin' Moes,Jeff Massanari Trio
Portobello Lass,Harry Lauder
Trumansburg Whistle,Gershon Kingsley
Reuben James,Kenny Rogers
Rock Steady,Bad Company
Sporable,Winifred Phillips
The Waiting,Zombina & The Skeletones
Grey Skies Turn Blue,MxPx
Wraparound Shades (Album),Zumpano
The Earth Isn't Humming,Thrice
Champion (World),Davol
Heart Breakin' Blues,Cannon's Jug Stompers
Year Zero,30 Seconds To Mars
Satisfaction,Who Made Who
I Can't Help Myself,Tyrone Davis
Autofokus,K.I.Z.
Tango Andorra,Aimable
King Jesus Is My Captain,Birmingham Jubilee Singers
I've Grown Accustomed To His Face I've Grown Accustomed To His Face,Shelby Flint
Profound Sound (Take Two Album Version),Ill Harmonics
She's My Mary,Lonnie Johnson
Livin' In a Strain,Alvin Youngblood Hart
The Little White Cloud That Cried,The Knightsbridge Strings
Amor que terminó,Los Solitarios
Tell Me What I Want to Hear,The Dils
Red Sky,Thrice
Symphony No. 7 in A Major_ Op. 92: I. Poco sostenuto - Vivace,Herbert von Karajan and Turin RAI Symphony Orchestra
Above The Rainbow,Flora Purim
Strike While the Iron is Hot,Kenny Neal
Shouther to Shouther (Shoulder to Shoulder),Harry Lauder
Prem,Joi
Suicide,Aceyalone
Caribou Lou,Tech N9ne
Day Or Night [Live Album Version],Little Feat
El Vino Triste,Los Auténticos Decadentes
Wishlist,Pearl Jam
Santa Barbara,Chaka Demus & Pliers
Playboy,Teena Marie
Jugglin' Clown,Christian Quast
Things i say,Wilks
Groovitation (Album Version),Deodato
Christmas All The Time (Acoustic),Tom Cochrane
Role Model,Steel Pulse
Virtuosite Musette,Edouard Duleu
Since The Last Time,ARRESTED DEVELOPMENT
Michelle (LP Version),Bela Fleck And The Flecktones
We´ve Only Just Begun,Bitty McLean
Porque Nos Queremos,Los Chichos
Obvious ( LP Version ),Jane's Addiction
Frei zu sein,In Extremo
Grown & Sexy,DJ Omega
Grustnaja,Markscheider Kunst
Epaule tattoo (Live 1989),Étienne Daho
Goons Lurkin (Instrumental Album Version),Plies
Wolf In Sheep's Clothing,Jeff And Sheri Easter
Lost Circles,React
Pussy Hole,DJ Nasty
El Cumbanchero,Günter Noris
El divertido,Orquesta Sublime
Blackwood Moth,Milieu
Dreaming Of April,Out Of The Grey
New Sensation,Snow Patrol
For The Good Times,Dart
Clever Girls Like Clever Boys Much More Than Clever Boys Like Clever Girls,Pelle Carlberg
Never Alone,Open Hand
Chatterbox,Sex Pistols
Sporco Ma Distinto,Ennio Morricone
Elle Et Moi,Koffi Olomide
Columbus Stockade Blues,Charlie McCoy
Damn That Radio [Live],The Wreckers
Camisa Amarela,Gal Costa
Style,Enuff Z Nuff
It's My Party,Lesley Gore
Keep The Circle Around,Inspiral Carpets
Wot U Say,Various Production
Xiang Zai Le Huo,Eason Chan
Birth Of The Falls,Stephen Warbeck
What'll I Do For Satisfaction (LP Version),Johnny Daye
Portraying Light With Rainbow Colored Crayon,An Cafe
For Me This Is Happy,Gene Pitney
Ithaki,Peggy Zina
Guilty Partner,New Order
Delilah,The Sensational Alex Harvey Band
La Rosa (Live),Bobby Pulido
"Let's Call Him ""Andre",Bruce Rowland
Our Lady Of Fatima,Kitty Kallen
Syvä meri (Oceano),Kari Tapio
I Got A Seecret,Redman
Reprise: Tú mi delirio - Guajira - Si te contara - El manisero,Chucho Valdés
Te Miattad Változott Meg Az Életem,Belami
Banda Yango,Tshala Muana
Song For Love,Extreme
Nachts um halb drei,Janina
Iron Man,Mat Maneri
I Constantly Thank God For Esteban [Live In Chicago],Panic At The Disco
000GrandPno,Pumpkin Buzzard
Pai Keros,Christos Dantis
Tuesday Afternoon,The Moody Blues
As We Lay,Fiona
Forever You Reign (Album),Nicole C. Mullen
Tema Da Desilusão (Garota De Ipanema),Orquestra
Healing Power,Virgil Moorefield
The Anthem,Hatiras
Disco Trafiko,Trafik
Rant Kanaria,Jope Ruonansuu
Blackwords Masking,This Moment In Black History
Clavelitos,Joselito
The Gift,Natalie Cole
Tomorrows Girls (Live),UK Subs
O Dikos Sou DJ,Imiskoubria
Little Brother,Grizzly Bear
Polly,Nirvana
Ol' Frank,George Jones
Be Aware,SOJA
The Chance,Julie Roberts
Abbeville Fair,Seatrain
My Life Is Totally Boring Without You,Cracker
Gavel Obliterated,Chris Clark
Calliope,Al Di Meola
Aya Benzer 2003 (Moonlight),Mustafa Sandal / Gülcan
Fire in the Hole,The Elders
So Different Blues,Mance Lipscomb
Cuantas Madres Llorando,Los Chunguitos
Opening,Harald Kloser / Thomas Wander / Thomas Schobel
Lived My Life,Singing Melody
Dipset (Santana's Town) (Skit),Juelz Santana / Freekey Zeekey / Monique Garnett
Do You See The Light (Deep Ethno Mix),SNAP!
Pépètes,Java
Cha Cha Cha,The Rodeo
Save My Soul (Cypher UK Radio Edit),Kristine W.
Buenos Aires (De Tus Amores),León Gieco
It's Four In The Morning,Faron Young
The Interrogation,Paul Buckmaster
Song Without End,Paul Avgerinos
Supermassive Black Hole (Album Version),Muse
Show Me (Acoustic Version),Seal
Background Music: The Greatest Ever Punk Sing-Along! (Live),The Prefects
Y.O.U. (Album Version),Lonestar
6TH Avenue Nightmare,Pennywise
Cuatro Estrofas,Sandra Mihanovich
Climax (Instrumental Mix),Slum Village
Give It Up Or Let Me Go,Dixie Chicks
BOMB SQUAD,Bomb Squad
Le Chat du Café des Artistes,Charlotte Gainsbourg
Joy to the World,The Jordanaires & Orion
Don't Know How To Be,God Lives Underwater
I'm Back,Eminem
Althea Cooley,Mack and Jamie
Yearning Just For You,Bob Wills
Sincerely,Don & Juan
ONE WAY LOVE,An Cafe
Merry-Go-Runaround,Bob Hope
Canción De Títeres,María Elena Walsh
Devil's Daughter,Eric Burdon
The Taking Of Angelique,Dark Shadows
Question Authority,Circle Jerks
4tx.31b,S.U.P
Loup Garou,Deville_ Willy
Oh No,Daniel Johnston
So Many Reasons,Jake Hess
32 Lines (Album Version),Sophie B. Hawkins
Levallois Monte Carlo,Georges Parys
Dragonfly,Diesel Boy
Fading Lady Light,Jefferson Starship
The Croppy Boy,The Irish Tenors
Many Are We,Keep Of Kalessin
Play The Part,Eyes Set to Kill
Cajun Honey (Cajun Lovin' Style),Rod Bernard
Sloppy (I Saw My Baby Gettin'),Devo
Reminissin',Geiom Feat. Marita
Caseta del Plater,Pep Laguarda & Tapineria
2 People,Ann Lee
In Fate's Hands (Album Version),The Red Jumpsuit Apparatus
Tem Do de Mim (Live At El Matador_ San Francisco),Sergio Mendes
Salvation,Chroma Key
Till There Was You (John Creamer & Stephane K Remix),Rachael Starr
I Love No One But You,Don Gibson
A história do incêndio do jequitibá de Carangola (Part 1),Hélio Ziskind
Shame,Anna Abreu
Arise_ My Love (Song Of Solomon),Michael Card
Two Guitars Shuffle (take 1),Lonnie Brooks
What If I Forget The Champagne,Stanley Clarke
Listen,Mykill Miers
Elementro,TEN MADISON
Meteor Of War (Album Version),Rancid
Kangaroo Blues,Moon Mullican
Remember (Walkin' In the Sand),The Shangri-Las
Tappin' Out (LP Version),The Katies
The Stranger,James Horner
A.C.A.B. (Bumper Sessions),4 Skins
Nanã,Mario Telles
NOT IN LOVE,The Scare
Are You There (With Another Girl),Burt Bacharach
Intro,The Chi-Lites
No Good In Goodbye,Jason Michael Carroll
Copacabana,Sivuca
I Wanna Be Where You Are,Michael Jackson
Tenderly,Eddie Calvert
Danny's All-Star Joint (LP Version),Rickie Lee Jones
I'd Rather Have Jesus,Loretta Lynn
Miesten tähden,Rauni Pekkala
Song For Paul,Alex Gopher
Charly (Trip Into Drum And Bass Version) (Remastered),The Prodigy
Thrill Me,Simply Red
Covered (The Beauty Of Simplicity Album Version),Telecast
Girl Tonite (featuring Trey Songz)  (Explicit Chopped & Screwed Version),Twista
From the Gardner Meditations: African Tarantella,Stefon Harris
Beautiful Lies,Eddie
Alma De Metal,Bobby Pulido
Werther - Lyric Drama in four Acts/Act III/Toute mon âme est là,Ramón Vargas;Vesselina Kasarova;Vladimir Jurowski
Toby,The Chi Lites
La Fruta Bomba,Fruko Y Sus Tesos
World Destruction (2005 Digital Remaster),Time Zone
Wartime Blues,Blind Lemon Jefferson
Theme From the Victors,Frank Chacksfield
Only You,Nana Mouskouri
Change Your Mind,KMD
O.T. (Skit),Cam'Ron
Na Primeira Manhã,Alceu Valença
Wildflower,Bon Jovi
Dolores,The Merry Macs
Tables Turn,Ann Nesby
Heal (The Separation) [PM Dawn Alt. Lead Mix],The Shamen
Rock The House (Explicit),Gorillaz
East West,Thomas Battenstein
Carol of the Bells (Album Version),Danny Wright
The Invasion (Aka Black Wa Da Da),Burning Spear
Motivator,Midwest Product
IV,From Autumn To Ashes
La petite boite en fer,Mademoiselle Sane
Jesus_ Lover Of My Soul (Bonus Stereo Trax),Passion
The Other Side Of That Hill,Barbara Fairchild
Own Me,The Frequency
Someday (I Will Understand),Britney Spears
Fall Line,Jack Johnson and Friends / Matt Costa
Don't It (make Your Troubles Seem Small) (Album Version),Soul Asylum
Morghe Eshgh,Mohammad Nouri
Watch The Sunrise [Live at Lafayette's Music Room_ Memphis_ TN_ January 1973],Big Star
Das ist mein Viertel,Eko Fresh feat. Capkekz
Me vuelves loco,Caballo Dorado
Sista,City High
I'mma Break It Down,Eazy-E
1er Gaou,Magic Systeme
Valerie,Amy Winehouse
It Ain't What It Seems,Pat Travers
November Has Come,Gorillaz
The Very Conscious,The Antripodean Collective
Back A Yard,The In Crowd
Given Up (Album Version),Linkin Park
South Bound Water,Lonnie Johnson
Ja Nun Hons Pris,Bryan Ferry
It's Good To Know Jesus,Mississippi Mass Choir
Things You Do To Me,Martin Sexton
O For a Thousand Tongues,Glad
Tripping Billies,DAVE MATTHEWS BAND
Your Love (Got a Hold of Me) instrumental,George Nooks
Kaloobafak [I'm Confessin' (That I Love You)] (LP Version),Jim Kweskin
Nobody In Mind,Joe Turner
Run A Mile,The Pineapple Thief
Wo You Jin Ri,Justin
Cranford: Deborah's Vigil,Carl Davis
All Is One,Atman
Washes Over Me,Wamdue Project
Junior Crehan's Favourite - Corney Is Coming,Planxty
Jag Vet En Dejlig Rosa,Thomas Battenstein
Hannikaisen baari,Hector
Luo Cuo Che,Sammi Cheng
It Could All Get Blown Away,The Jeff Healey Band
Bob Your Head,RUN-DMC
Make it up,Anthony Cruz
Le Roi A Fait Battre Tambour,Jacques Douai
Dope Nose,Weezer
Never Alone,Walter Hawkins
Love Lifted Me,Eddy Raven
Wings Off Flies (2009 Digital Remaster),Nick Cave & The Bad Seeds
Working On The Highway,Bruce Springsteen
Trade It All PT2  (Early Fade Amended Version- Bonus Track) (featuring P. Diddy & Jagged Edge),Fabolous
Xin Bu Liao Qing,Fiona Sit
The Pig,Showbread
I'll Be Glad,Elvin Bishop
Gaya's Dream,The Gathering
Anyone Who Had A Heart,Cal Tjader
Nothing Matters Anymore,Showbread
Fortunate Fool,Jack Johnson
Tu Vuo_ Fa_ L_ Americano,Rita Chiarelli
High Horse,Workhorse
Intro/Whatcha Gonna Do about It,Humble Pie
September Song,The Chico Hamilton Quintet With Fred Katz_ Paul Horn_ John Pisano_ Carson Smith
Bodyfly (Dynamix original version),Dynamix
Brampton To Roadhead,Gathering
Stop That Thing,Sleepy John Estes
Drumroll (We're All Thirsty),P.O.S
Tu Quieres Volver,Gipsy Kings
Cable,Languis
Get 'em,Redman / Saukrates / Icadon
Romanza,Hard Romantic
Walking To Jerusalem,Tracy Byrd
Calm Down Dad,Helen Love
Dragonfly,Connemara Stone Company
Intro,DJ Clue / P. Diddy
Bigbigkiss,Helen Love
To Go Home,Daniel Johnston
Duh Duh Da,Lidell Townsell
"Pete's Crusade (12"" Version) (2006 Digital Remaster)",Light Of The World
Departure / End Title (Love Theme From Night Of Dark Shadows),Dark Shadows
She Don't Belong To You,Sue Foley
Q1.1 Edit,Basic Channel
Blowin' In the Wind,Ben Sidran
The Sound Of Music - [High Wycombe Town Hall Live 13 July 1979] (Sound Check),Joy Division
This Is For My Bitches,Jim Jones featuring Oshy
Let It All Go,Krayzie Bone
Youre nobody till somebody loves you,Mills Brothers
Here You Come Again (LP Version),Barry Mann
Brother Can You Spare A Dime (Album Version),Jim Kweskin with Samoa Wilson
Hummingbird,Jimmy Page
Tabernacle Song,Fake Problems
"(You're) Timeless To Me (""Hairspray"")",John Travolta / Christopher Walken
I'm Gonna Take My Time,Anthony Watson
Dig Up Her Bones,The Misfits
Cien Anos,Selena
Collides With Beauty,ATB
A Little Of You,Eurythmics
2 Fists Full Of Nothing,Bruisers
In My Heart,Paul Avgerinos
Amaze,Jimmy Riley
El Mar No Cesa (Live),Héroes del Silencio
Forgive Me (High Key-Premiere Performance Plus),Steve Green
Anfang Vom Ende,Pyranja
I'll Pray For You,The Perrys
My Own Way,Evolution
Dunn's Revenge,Paul Buckmaster
Pick Me Up On Your Way Down - Original,Charlie Walker
Beloki,Peloton
Ich bleib so wie ich bin,Eko Fresh feat. Ado
Brightess night,Wilks
Shenandoah,The Statler Brothers
Schauet Her!,Der Plan
Life is Love,NO-TONE ft.Inusa
Que Ves Por Tu Ventana,David Saylor
Talking During Sex (LP Version),Martin Lawrence
Nadal De Luintra,Berrogüetto
Smith & Wesson,Frenchy
Vietnamese Baby,The New York Dolls
Bring Out Your Dead,Cadacross
Angry Chair,Alice In Chains
The Modern Rome Burning,Anti-Flag
Spawn (Again),Silverchair
Suck My Blood,Beherit
Friends Of All Races,Rocky Whatule
Love Shines Through  (Dream Album Version),Michelle Tumes
White Jetta,Casiotone For The Painfully Alone
"non-existent track (part one: ""why don't you fuckin' remember anything ?"")",Aphasia
Jane 5,EPMD
Canon In D Major (J. Pachelbel),Mariano Yanani
Need To Shout,Architecture In Helsinki
Café Sarajevo,Lara
Gallows (Album Version),Atreyu
Fanfara,Save As
La Nuit,Patrick Eudeline
La chanson des genêts,Jean Lumière
You Know How I Do [Live From Bamboozle],Taking Back Sunday
Io Vivo,Piero Esteriore
Ay Nare Nare,Grup Knar
Breath Of Fresh Air,Warrior King
She Left Me A Mule ,Sonny Landreth
Destiny,Buju Banton
Chu Hsin,B.A.D.
Love Is All Around,Wet Wet Wet
Cell (Album),Falling Into Place
Maracaia,Timbalada
There Are More Questions Than Answers,Johnny Nash
Radio Jay,Mario Rosenstock
DEU470956112,Marty Robbins
Ya Basta,Jay Pérez
Trois Noëls québècois (trad): Gabriel,Catherine King/Matthew Schwinghammer/The American Boychoir
Lebaran,Bimbo
Sommarens sista mås,Arne Weise
Wang Wang Blues,Hank Penny
Siri,Samba Mapangala and Orchestra Virunga
Suba,Jason Miles
Beauty And The Beast,Nightwish
The Lonesome Boatman,The Fureys
Knock Knock,Joe Lynn Turner
Markus sång,Kent
General Chariot Corp. (LP Version),Bob Newhart
She Don't Move Me No More,BB King
Police Story,Black Flag
Through the Looking Glass (jazz),Chris Standring
Alma Mater,Moonspell
Ormhäxan,Finntroll
Wish (Album Version),Beautiful Creatures
Soul of Ethiopia,Oh No
Prospection,Henri Pousseur
Dontchaletmecatchya,The Wiyos
Louie Louie,Eddie and the Subtitles
This Ain't A Love Song,Bon Jovi
Chase The Light,Dope Stars Inc.
Good Texan,The Vaughan Brothers
Neglected,Marygold
Intro. & Hello Young Lovers (Live) (2000 Digital Remaster),Bobby Darin
Je suis le passeur du printemps,Jean Lumière
Chumpman Blues,Scott Ainslie
Forró Praieiro,Sivuca
Russian Doll,Flink
Come Live With Me (12'' Extended Version) (2006 Digital Remaster),Heaven 17
My M.B. Thang,Tyree
Big Legged Woman,Robert Lockwood_ Jr.
Bull Dog,The Shangri-Las
I Can't Believe That You're In Love With Me (Digitally Remastered 95),The John Buzon Trio
Como Nuestro Amor No Hay Dos,Cabas
One Year_ Six Months,Yellowcard
Trows Kind,Elvenking
Spoken Word / Ogdens' Nut Gone Flake / Spoken Word,Small Faces
Song For Stephin Merritt,Kira
Change Clothes,Jay-Z
Mis calles de arena,Fabián
Kathleen's Song / Ray Lynch,Ray Lynch
Ascendant,Keep Of Kalessin
Cai dentro,Gabriel Grossi
My Funny Valentine,Jeanie Lambe & The Danny Moss Quartet
L'Etang Chimérique,Jacques Douai
El Capiro,Mercedes Castro
Silence,Jedi Mind Tricks
Si Te Dicen Por Ahi,Charlie Cruz
Little Cry For Him (Chorinho Pra Ele) (LP Version),Hermeto Pascoal
Pickled Heads,Elliot Goldenthal
If You Ask Me,Nick Colionne
Werewolf_ Semen And Blood,Beherit
Need More Blues,Sleepy John Estes
Moritat (Mack The Knife),Bobby Darin
"Beauty Queen (12"" Spoon Club Mix)",SNAP!
Revelations,Marco Beltrami
On The Road To Emmaus,The Steeles
Li Jia Chu Zou,Janice Vidal
(Do)Minion,Eluveitie
Active,Dark Party
Cuando Quieres Tu,Sonora Santanera
Djessy,Kanda Bongo Man
Times Like These,Albin Myers
Nightly Cares,Múm
Let It Be Me,Tommy McLain
Into Battle,Ensiferum
Aquel Amor,Flor Silvestre
Interlude: Livin'...In Complete Darkness,Janet Jackson
I'm A Killer,Hot Live Guys
Unicorn,David Lynch
Indita Mia (Album Version),Alacranes Musical
The Lull Before The Storm,Ron Goodwin
Amdokwe,Vusi Mahlasela
Nassau Town,John D. Loudermilk
Look Me In The Eye,Margaret Becker
Pocket Calculator (2009 Digital Remaster),Kraftwerk
The Buzzard's Back in Town (Live),Pumpkin Buzzard
Harry Flowers,William Orbit
Broke Down,Radio Moscow
Bop Moon,Giuseppi Logan
Atto Quarto: 'La Fatal Pietra Sovra Me Si Chiuse...' (Radames) (Verdi),Orchestra e Coro del Palacio de Bellas Artes Di Cittá del Messico_ Oliviero De Fabritiis_ Maria Call
Mr. Sellack (Album Version),The Roches
Orgasme Tellurique,Stille Volk
Gonna Take a Miracle,The Elders
Too Late (Orange Factory Extended Mix),Tina Ann
Hypnotise The Cat,Tam Tam Go!
Dime,Conjunto Mar Azul
Eddie's Pad,Tom Collier
Conversation,Jimmy Riley
Liberty,Heavenly
Hiraeth am Feirion,The Gentle Good
Die Art von Mann,1. Futurologischer Congress
Saylarvee (LP Version),Small Faces
The Call,Backstreet Boys
Let The Chips Fall,Charley Pride
ICU,Saigon Kick
Get Picked Up,Crazy Girl
Jesus Walked This Lonesome Valley  (The Christmas Guest Album Version),Andy Griffith
Over You (feat Joyo Velarde_ prod DJ Shadow),Lyrics Born
In A Dead World (Album Version),Killswitch Engage
Tomame O Dejame,Nicho Hinojosa
La Barca,Nelson Ned
When You're Smiling - Sheik Of Araby,Louis Prima & Keely Smith
The Wonders,Yami Bolo
Avec lui,Michèle Arnaud
Ambulance Man,Memphis Jug Band
Laziness,Juan Farcik
Dama Dam Mast Kalander,Pardesi
Printemps,Les Ogres De Barback
The Lord Will Go Before You,Janet Paschal
Oh Little Town Of Bethlehem,Sergio Franchi
Engel,Der Plan
Mesmerise The Future Part 1,Emotion Code
Slips Of Paper,Dave Brockie Experience
Refuge,Matisyahu
Backseat Driver,Debbie Davies
More Than Vocals (MTV),Natural Elements
Sex,Bow Wow Wow
Old Memory,Ashton Shepherd
Sentimento (Asteri_ Asteraki),Dakis
Death of Me,Smash Palace
Freight Train,Elizabeth Cotten
Bobby's Girl (Previously Unreleased Demo - Stereo),Marcie Blane
The  First Of The Year,Rubyhorse
Ooh La La,Tyrone Davis
Airto's Jazz Dance,Flora Purim
When Summer's Through,THE CHIFFONS
The Traveller,Atman
Vennette,Maria Bamford
Procession,Vangelis
Multiplayer,Babylon Disco
Gone,Frankie J
Lost In The Funhouse Again,Michael Stanley Band
Cri'r Adar Main,The Gentle Good
We're Together Again,Ray Pillow
The White Spirit,Uman
Just Like Lightnin',Joe Satriani
Mine Again,Mariah Carey
Time Zone (Album Version),Lauren Wood
No One Knows,George Nooks
If Your Na Na Get Wet,Baby Bash
Escape From The City,John Williams
Black Tiger,Y&T
Love Ain't A Play Thing,Earl Hooker
Reach For The Ground,The Ghost Of Lemora
Mule Get Up In The Alley,Cannon's Jug Stompers
Existing Alone,Rhian Sheehan
Small Axe,Bob Marley
I'll Show You Love,Usher
Le bar du grand désir,Michèle Bernard
Telling Me Lies,Dolores Keane
Calling Dr Zarkov,Robin Frederick
Heard 'Em Say,Kanye West / Adam Levine
Zélé,Yodi's
I'm Gonna Make Her Mine - Original,Billy Butler
I Know A Man,Rev. Timothy Wright
Paint Ball,Mario Rosenstock
Please Come Home For Christmas,Lou Ann Barton
Hot Cross Bun,Mikey Dread
Nena Neurótica,Alejandro Lerner
I Don't Give A F**K,D.O.W.N.
Yang Guang He Xu,Steve Chou
Hot Tamale Baby,Buckwheat Zydeco
I.A.I,Royal S
Now everybody's gone,Salieri
Mi Amante Amigo,Rocio Jurado
Wake Up! Wake Up! (Wake Up! Wake Up! Album Version),Everyday Sunday
Everything I Desire,The Brooklyn Tabernacle Choir
The Mission,30 Seconds To Mars
First Boyfriend,Helen Love
G G Kah,Moonface
The Tie That Binds,Moon Mullican
Seikurabe (Karaoke),Yuko Kanzaki
Raza Cristalera,Los Morros Del Norte
L'horizon Chimérique,Julien Clerc
Everything's Gonna Be Alright (Live Version),King Curtis with Jack Dupree
Just A Phase,Incubus
Werther - Lyric Drama in four Acts/Act I/Rêve! Extase! Bonheur!,Ramón Vargas;Vesselina Kasarova;Vladimir Jurowski
Only A Look,The Nelons
It Is What It Is (feat. Anton X),Omni
Losin' End (LP Version),Michael McDonald
Do It,DJ Nasty
Fuckin' Wita Psycho,X-Raided
Love & Devotion,Sizzla
Just A Little Bit Of You,Michael Jackson
My Girlfriend's Friend,The Refreshments
I'm Gonna Cry Til' My Tears Run Dry,Irma Thomas
You're Looking Good,Dee Clark
Studen plamuk,Sofi Marinova
UBIK The Breakz (feat. Martin Bettinghaus) - Radio Mix,Timo Maas
Cooling Out,Cocoa Tea
Lioraras,Los Ninos De Sara
Little Drummer Boy,The Almost
Anita Love's,Carlos Jimenez
Mercy (Album Version),Darwin Hobbs
Brother Brick Says,Claw Hammer
If You Think You Are Lonely Now,Kashief Lindo
Silencio De Aguas Profundas,Alas
Sting Me,The Black Crowes
I See War,IYOV
