song_name,song_id,artist_name,artist_id
TELL ME WHY,0jvoOrQ2AChZVnMXHBBnlS,George Nooks,3lOCG4sqG0T37eoN9JqjEw
Czwarty,2aJZm9Vau6PEY713J6SteL,Energy,3ptuQYWVAbcWl3wrRkE6ku
Washington Post (1998 Digital Remaster),,Felix Slatkin/Concert Arts Symphonic Band,
No Pienses Asi,5lIuDrAE1kjWz3TmNuyFWq,Eddie Palmieri,2VviFtXYreO6Zn9n8Ibk6C
Cavalleria Rusticana,3reEhPUrz0w81lgtbBoO0L,William Orbit,2AHGrNDMKFi8rHqQ8kJqfl
Forever,3NZJlJemX3mzjf56MqC5ML,Chris Brown,7bXgB6jMjp9ATFy66eO08Z
Amor a Medias,,HA-ASH,
15 Step,4oXg7xT4ksBxHTx8PcmSXw,Radiohead,4Z8W4fKeB5YxbusRsdQVPb
I Love Your Way,25MF3OTFSLoiVPf2CyX8uo,Kashief Lindo,5OUbkehpd3H7pV8DKcQlNt
Lookin' For Me Somewhere,,BoDeans,
Raise Your Hands,7oJXOVieUvG8e9HDRhZGPK,Bon Jovi,58lV9VcRSjABbAbfWS6skp
Rainbow Dance,5xkwcRs9A3aYGNRmmgW7mp,John Tchicai,3zPUfW3hRI4NIvhtr6UjH1
Champagne & Reefer,6KlBm9gH1FHWb5EEodViFj,Bongzilla,1qPFzP54oMjiPXpmneoIwF
No More Doggin',60tS5WiirpTSbE8tt3OFB6,Otis Spann,0xeI9Z0Uhs8bYGBRpqq88X
I Need a Veggie,2njaX0pIxrqZoAPnA2A01Q,John Holt,312pFk2xpEwYWLGPehc4Nu
Get Happy,,Danny Wilson,
I'll Wait for You Dear,,Al Dexter,
From Afar (Album Version),,Van Halen,
Cry For Love,3EpyFNe6d6FOZbRANm8S0q,Capleton,21J3YJTyq1biE3SvSNjzuf
Uncle B.S. - 1963,,Tim Wilson,
Wohär dr Wind wäiht,0eHncQ4nNU9iWyCxxkUnLi,Kisha,6vK1HRsfeYa8m5ejJD4RTc
Volumatic Spacer Device,1Wf3IsDhBrfWvhbasaBBaW,The Chap,49iE5cZbbLFBNlSw9nOr8Z
Putt Jhatt Da Gulabi Phull Varga,,DJ Vix,
Namibia,,Ziggy Marley And The Melody Makers,
Unlearn,7i4hkMMWTl02apbFoaUEQh,Crematorium,75faXms0abitRFVGLtRnkv
Vargbrodern Talar,6JkXseK0IuECpn9Fp9ZKMJ,Månegarm,6jQgWQKirZ7IKDGN8fRtdA
Sweet Lady,,Ernest Ranglin / Floyd Lloyd,
Forever,63PGKpHYLwJYuWtenqVcr8,Franco,22Di6YX4NuAdt1EEZ0dxtH
3,6pymOcrCnMuCWdgGVTvUgP,Britney Spears,26dSoYclwsYLMAKD3tpOr4
Sleuthing,,Danny Elfman,
Meet Me in the City,5LmmZgxFg1sSfxENxsdtak,Junior Kimbrough,03HEHGJoLPdARs4nrtUidr
Drama  (LP Version),,Liquid Gang,
Oh What A Feeling,,Everly Brothers,
So hell mit Klause Duo,,Flowin Immo et Les Freaqz,
Concerto For Saxophone (Quartet Version): Movement IV,,Philip Glass,
Llama y Verás,5074hKoBVd4vMZ50r6M5hm,Luis Alberto Spinetta,1MuQ2m2tg7naeRGAOxYZer
Heyya Heyya,,Ramy Ayach,
Misty Valley,,Frank Chacksfield & His Orchestra,
Sehnsuchtsexpress,,Frl.Menke,
Come Alive,6PgNuWIZ1Aechvuv5073Xb,Agnostic Front,3zDvanHxaETiHltPkKKYhT
Spitting Games,7FnPuMFgc7YDuwQkGpttr2,Snow Patrol,3rIZMv9rysU7JkLzEaC5Jp
Drones,7wOYlhUoHMpg2r96VWiIYR,Rise Against,6Wr3hh341P84m3EI8qdn9O
Do Your Will (Album Version),,The Rance Allen Group,
Check the bomb,,Refractory,
System of Play,3aZAVizeugXVGYKA9kW6OP,Theodor Zox,1MS7j33OqXR3XOmOmW5uVB
Trying To Get To Heaven,,Bob Dylan,
Birch,4mzuuci7IGapqF0KyH7pIs,Maximilian Hecker,1MiFW2YL84e7nY7YKeSflk
Same Old Thing,4G5MIzuLUnQWwrVynlNTPm,Albert Collins,1uFixbBAduJkFAeRKznkvW
Voodoo Doll,0D2nmjyqmjMuKbxM3WKLFu,Fergie,3r17AfJCCUqC9Lf0OAc73G
Nerio Compra Una Contestadora,33duFKeOvIFrMnhDjPCBBg,Los Amigos Invisibles,5x3mrCTZmkoTXURN7pWdGN
Killer (Single Version),3Bp7Cf8SEYiT7jK1alhhAK,Seal,5GtMEZEeFFsuHY8ad4kOxv
Sunset Manifesto,17M0GWFCVXxa2JBXCRxzRu,Flink,7nHeiqla0kL8RpqhmFXxXa
From My Hands,50KZRMRmGz3ECHNIJYaWOY,Salt The Wound,7fC5YpLUISo1PGfNsxNuvo
Tanz,,ZENFU,
Coming Back For More feat. Colin Corvez,,Daniel Paul,
Paradise In Your Eyes,,Winston Reedy,
Isku Pitkästä Ilosta,7wHVi2T8uEwa8NsXRIvHtB,Korpiklaani,521Yl3LUvD7G9dMRO4fpCy
The Way I Am,23wfXwnsPZYe5A1xXRHb3J,Eminem,7dGJo4pcD2V6oG8kP0tJRR
One More Ride (Digitally Remastered),,Johnny Cash,
Can't Help Falling In Love,,Brian Dullaghan,
Drunk Driving Tip,,Dezz White,
Que Vuelvas,3DjXu9jBpV5lPbhHQVyPQd,Shakira,0EmeFodog0BfCgMzAIvKQp
I'm In The Mood For Love,,Roger Williams,
Yesterdays,,Gonzalo Rubalcaba,
Concertino for Bass Trombone and Trombone Choir,,David Taylor,
De Tha Mai Edo,5SOM8KPg1Kn5M4EKkSCnDA,Domna Kountouri,0nxnCOYe1l1nVnc2bUbbvb
Rachel's retribution,,Anne Dudley,
A Goodnight's Sleep,37YHZAS4z74AXm4RT76YxR,The Starting Line,3E3xrZtBU5ORqcmX78v5YZ
Mui Mal_ Animal,,L.A.V.I,
Cup Horn,,TEN MADISON,
Am I That Easy To Forget,0ZUOB6nCH7Cv0NgHFsVe7K,Carl Belew,0neRLDD4J0qgyevSJm6HGW
Vitamina,6ZBtX6jV48Hwytg3gELsKr,Sonora Carruseles,34qU0b0yRjEzRJtknerEDS
The Haunting,,The Misfits,
All or Nothin' Gal,,Jessie Lee Miller,
Some Kind Of Zombie (Criscoteque Remix),,Audio Adrenaline,
A Veces Hablo De Ti,0O83z0pSWprjnMnRSWjntk,Tito Allen,6ajlqkidtjJkvjUSYJh0Zr
Old Fashioned Baby,,Pee Wee Crayton,
Just Say Yes,,Dickies,
Faithkeeper_ Part 1,,David & Steve Gordon,
Children Of Love,5sU52BRggopClvjiEC9xN0,Abijah,1ptmdKsQnzYAegpDk47tgd
Afro Profondo,,Daniela Dessì,
Lihava enkeli,,Murskahumppa,
Killing Me Softly With His Song,2OeT3SvGtNoH4bpsodv1ki,CoCo Lee,3ioHf138TiMxYRCWmC8yJX
Girl You Need My Love,,Doniki,
Love Theme (The Falling In Love),,Burt Bacharach,
Roller Derby,1B8mX8abdTDaNTskwLUf1z,Leon Russell,6r1Xmz7YUD4z0VRUoGm8XN
Are You Ever Gonna Love Me?,1Mm9T8YumdpG7h8rUGq6F3,Jimmy Wayne,60h3lZFY2T93K7qxVPrajf
Turn Up The Bass,,Fast Eddie featuring Kool Rock,
So deep,,Ann Lee,
Collecting Dust,3ylKVFV0KAnMf2yXFTj4JD,Life Long Tragedy,6JJrKpZgPRr78cysPtAyQq
You Had Me From Hello (Lullaby Rendition of Kenny Chesney),,Hushabye Baby,
Nothing's Clear (Album Version),,Ill Nino,
You Must Do Your Best Tonight / I Represent/Animal Crackers,,The Marx Brothers,
French Suite: A Paris Thing,2mkT9tRSw4oywaF1lKi1mp,William Goldstein,4eZcS71JyYmqtlxVR2TSIe
Oh Scat Mix Up,,Tim Exile,
The Modern World,1pXXriSh4lpOKFqsAWVdHe,The Jam,2P560DaOMNDUACoH8ZhOCR
I'm Not A Loser,,Descendents,
De Paris Un Caballero,6nLxEMf74K5xEsCQWKA3P6,Barbarito Diez,7moJIKSJ8ja7keltIrZzjE
T-Ball and Indian Guides (LP Version),,Bill Engvall,
La Rue Du Babouin,,Françoise Hardy - Maurane,
Big Bounce,6c7JCJhV2xmLl5GvZ9ubVV,David Arkenstone,21Uejbf0dmBe3tEOUhWWt0
Summer Summer,33bluPLJZ2DMKvullgh39n,The Almost,5X09SRt3qx77eh0XRreLjr
Bubblin' (Anita Demo),,Camp Lo,
Couldn't Stand The Weather,,Stevie Ray Vaughan And Double Trouble,
In Style,111614JOIkDcRFaQqwkeqJ,David Johansen,7qZdnGoW781UFYTcMpDilR
Closin' Moes,,Jeff Massanari Trio,
Portobello Lass,,Harry Lauder,
Trumansburg Whistle,,Gershon Kingsley,
Reuben James,6VzGAkimNeVGJEPlzaBKco,Kenny Rogers,4tw2Lmn9tTPUv7Gy7mVPI4
Rock Steady,,Bad Company,
Sporable,0S5sBE8z6za4nwkOgAE77q,Winifred Phillips,3WdyhLLusqZPFr1coSYNnA
The Waiting,0jw9i4s8iQ31kFolV9RdBI,Zombina & The Skeletones,6yfUz4F7jvOfc8RbK9AmNR
Grey Skies Turn Blue,4Dw3wiB2cRJr4QBI6fkJmJ,MxPx,1cSpfa4Un4NCOzeOKgGtG9
Wraparound Shades (Album),,Zumpano,
The Earth Isn't Humming,3K1QP5MyaAoKoPwwqo2EhZ,Thrice,3NChzMpu9exTlNPiqUQ2DE
Champion (World),,Davol,
Heart Breakin' Blues,7ct1EY3oM7uKoXGabiM9D9,Cannon's Jug Stompers,65oBffOa88Yjia8B9FTLAS
Year Zero,,30 Seconds To Mars,
Satisfaction,,Who Made Who,
I Can't Help Myself,2bLDNhcsv8FgyykVJwtYtW,Tyrone Davis,76agLI5oSCFbmZnBqKcBJd
Autofokus,,K.I.Z.,
Tango Andorra,3cForBBZkduIZ0D9IsdHkF,Aimable,2f7HGzHXnj6AwetOZvINDy
King Jesus Is My Captain,1pXZTSFldLxNmdZQHwkYZi,Birmingham Jubilee Singers,2hQaqqtFci3TIktmGxQmTz
I've Grown Accustomed To His Face I've Grown Accustomed To His Face,,Shelby Flint,
Profound Sound (Take Two Album Version),,Ill Harmonics,
She's My Mary,1C33qPkGmoTHZC04gJvKnZ,Lonnie Johnson,74g0xdNndEjFzMKSRFUMNM
Livin' In a Strain,52cvldkndUmUIZ76ZHyPCj,Alvin Youngblood Hart,1pmIo6ASaJG24wmYoyxjwG
The Little White Cloud That Cried,,The Knightsbridge Strings,
Amor que terminó,0rFKBnQh1acsEaWiOiq7TC,Los Solitarios,5oXtNxxScsHb1cRjqqfcMj
Tell Me What I Want to Hear,,The Dils,
Red Sky,6iicvZNMHFkznTOAucfvwR,Thrice,3NChzMpu9exTlNPiqUQ2DE
Symphony No. 7 in A Major_ Op. 92: I. Poco sostenuto - Vivace,,Herbert von Karajan and Turin RAI Symphony Orchestra,
Above The Rainbow,2IZPvD5m6NYIc9OBlM0rMS,Flora Purim,6GaQjt3WJqroNLGfUsuMpk
Strike While the Iron is Hot,,Kenny Neal,
Shouther to Shouther (Shoulder to Shoulder),,Harry Lauder,
Prem,5DJ2CZOeMkv1XSOAz9INHP,Joi,465zsHFUjQH4sQPdHIbqIf
Suicide,6ti6qXVhSCz4Lupg3QPriB,Aceyalone,7CaUk9xCxdXAmmqQn3PLR7
Caribou Lou,0I0wn4G67txQwENcmRH3d6,Tech N9ne,6UBA15slIuadJ8h2lPRPos
Day Or Night [Live Album Version],,Little Feat,
El Vino Triste,7KO3n68SPMyh9MFAQDWU9j,Los Auténticos Decadentes,3HrbmsYpKjWH1lzhad7alj
Wishlist,7hObovvcbBpXgZHQ9if4WU,Pearl Jam,1w5Kfo2jwwIPruYS2UWh56
Santa Barbara,,Chaka Demus & Pliers,
Playboy,1elF2hmhHgLTo8n4chas8v,Teena Marie,61UT1Zj9dFgPAjZfwnsqsb
Jugglin' Clown,,Christian Quast,
Things i say,,Wilks,
Groovitation (Album Version),,Deodato,
Christmas All The Time (Acoustic),,Tom Cochrane,
Role Model,5f9o2y0eNOut3Sv8X2D7E2,Steel Pulse,6UL7BodGc5iVmQGlMwHR0g
Virtuosite Musette,,Edouard Duleu,
Since The Last Time,,ARRESTED DEVELOPMENT,
Michelle (LP Version),,Bela Fleck And The Flecktones,
We´ve Only Just Begun,,Bitty McLean,
Porque Nos Queremos,,Los Chichos,
Obvious ( LP Version ),,Jane's Addiction,
Frei zu sein,,In Extremo,
Grown & Sexy,5ZkLyvsCuG39ZunOnXzNzl,DJ Omega,3TxjIt5Qj9031vomAqmI03
Grustnaja,,Markscheider Kunst,
Epaule tattoo (Live 1989),,Étienne Daho,
Goons Lurkin (Instrumental Album Version),,Plies,
Wolf In Sheep's Clothing,,Jeff And Sheri Easter,
Lost Circles,,React,
Pussy Hole,58JlaESRCpxu3i5W5R3Tco,DJ Nasty,60zAcfGPcQNBYuaIvQvQS2
El Cumbanchero,,Günter Noris,
El divertido,,Orquesta Sublime,
Blackwood Moth,3KApsUPwxK3crRvgQWOpqE,Milieu,1wI0J2ZhJdaZOPBbt3LnWF
Dreaming Of April,1yP4yc4UD7pLYquVylSvg8,Out Of The Grey,5sQREWZV42TtdtgR2wXk5S
New Sensation,0bBdzdOql8t4jmjghR3tNx,Snow Patrol,3rIZMv9rysU7JkLzEaC5Jp
For The Good Times,56RfgBbd1fq3CY9ECU7y7K,Dart,430DJFArTnPbs2CwkC4m8G
Clever Girls Like Clever Boys Much More Than Clever Boys Like Clever Girls,4NmYkFVvS1RZmX3I2UTT2k,Pelle Carlberg,645l73VEqQgWMi2AXgOLp8
Never Alone,1F1sAWPAiDZWOQ7j4LNbhN,Open Hand,5WFtLbVyCyRkHkwxePRrF9
Chatterbox,2Ry4rZVor2AnhOQdTGsiU4,Sex Pistols,1u7kkVrr14iBvrpYnZILJR
Sporco Ma Distinto,4Kk62C6KQIe0W2B1jpzszR,Ennio Morricone,1nIUhcKHnK6iyumRyoV68C
Elle Et Moi,3NaaJnysh3yIbsG2kFdGey,Koffi Olomide,7e14Bh8oZXNRmZxjhhTARb
Columbus Stockade Blues,2S4LYwevWHNTusqkKjQYG4,Charlie McCoy,4LwB86Ve6LpHYtsbnu6bvC
Damn That Radio [Live],,The Wreckers,
Camisa Amarela,6agn6uyxnypYDHCXMwrekg,Gal Costa,1b8kpp4DUwt1hWaxTiWQhD
Style,,Enuff Z Nuff,
It's My Party,1Pq47iFLC5U7j8xeNiNcuS,Lesley Gore,08b2PA6eFyugsWAk41eQKZ
Keep The Circle Around,,Inspiral Carpets,
Wot U Say,2zVZJFekNqtMgoNGPwr8Fs,Various Production,5KRNWhvVoHsxBH2i2siY0y
Xiang Zai Le Huo,,Eason Chan,
Birth Of The Falls,2p5p4tIKtIBNr0JXClcz5a,Stephen Warbeck,63Cqun2Sv18L3vXIapd9iW
What'll I Do For Satisfaction (LP Version),,Johnny Daye,
Portraying Light With Rainbow Colored Crayon,,An Cafe,
For Me This Is Happy,1K4oTPUTRT5MGLwbdG71a9,Gene Pitney,3ap1NzHNV9QA1x1V6z3gSe
Ithaki,7vn3FYcftfLmyMQgEQcWGn,Peggy Zina,4ut0QJyQkh4mrh3Cu6diKz
Guilty Partner,5Sj0f5sKd9mUNAnJDFvEVb,New Order,0yNLKJebCb8Aueb54LYya3
Delilah,0Ab5iMf4QzJ7R2qCS4D2Mt,The Sensational Alex Harvey Band,7wug9iQ1abMCrKk87LlJce
La Rosa (Live),,Bobby Pulido,
"""Let's Call Him """"Andre""",,Bruce Rowland,
Our Lady Of Fatima,,Kitty Kallen,
Syvä meri (Oceano),,Kari Tapio,
I Got A Seecret,2Aki4raVquhiimF96icZVO,Redman,7xTKLpo7UCzXSnlH7fOIoM
Reprise: Tú mi delirio - Guajira - Si te contara - El manisero,,Chucho Valdés,
Te Miattad Változott Meg Az Életem,3194fG6c5OFaZuDV1vfEFl,Belami,0f6de5eTnB43IvDNU4us6s
Banda Yango,33AfRrrCqdbw7FKEhoRKkC,Tshala Muana,7Eg9NJC0jFmuEtqT1N5Bdv
Song For Love,3yP553KE83Ubbw33nvwE4u,Extreme,6w7j5wQ5AI5OQYlcM15s2L
Nachts um halb drei,,Janina,
Iron Man,2aJB8QiYNh6tl2Qhg8ETju,Mat Maneri,7p8pvTPkEM4Y5ZCPHEUWbf
I Constantly Thank God For Esteban [Live In Chicago],,Panic At The Disco,
000GrandPno,,Pumpkin Buzzard,
Pai Keros,7rJ6oE7BFFlwD3auBexWdA,Christos Dantis,1TKXk9QDdArvRAKdW2sMyc
Tuesday Afternoon,0HT9xfDualo32Lw8C86LjH,The Moody Blues,5BcZ22XONcRoLhTbZRuME1
As We Lay,5vOLRAfroZZepQPtlAYDqJ,Fiona,19gKJXqC4KZ4Wc6ZEfZIfZ
Forever You Reign (Album),,Nicole C. Mullen,
Tema Da Desilusão (Garota De Ipanema),,Orquestra,
Healing Power,,Virgil Moorefield,
The Anthem,0GOKlmFlbKE2C22hVY4thd,Hatiras,7DQ8fX4Fbi43HaesfrVYpO
Disco Trafiko,1NZW7W94HFFReJ1BV06l3q,Trafik,5FHrnqVENM1L3qOFHRLnqg
Rant Kanaria,77G5gQJsjdCyZxcWU2w1Xw,Jope Ruonansuu,4NA81k2ZKIij7gs7oYksEx
Blackwords Masking,,This Moment In Black History,
Clavelitos,6k6PMsVpqzqsf8LjfKvw6U,Joselito,2ptIxlKIEvy7k7qhPy4Khq
The Gift,,Natalie Cole,
Tomorrows Girls (Live),,UK Subs,
O Dikos Sou DJ,7mRWrupIbYn0AnBVam1ur6,Imiskoubria,5A4ExW2nMBFRy2JDoYUcUE
Little Brother,6FhJq6y2hJpT2dL53RH1WG,Grizzly Bear,2Jv5eshHtLycR6R8KQCdc4
Polly,3tlXDvaNrrOmdvG0XVUOcv,Nirvana,6olE6TJLqED3rqDCT0FyPh
Ol' Frank,2n3YjUXsWarXRIPagtgkm7,George Jones,2OpqcUtj10HHvGG6h9VYC5
Be Aware,3nCbI4P1Syf6uaK9o9sPhp,SOJA,2vaWvC8suCFkRXejDOK7EE
The Chance,6u7ejpO5FVF02kRhZEnle2,Julie Roberts,5sXhYkm9PpLn5R70U2T6Ba
Abbeville Fair,2LgawNeQnT4KIurehjwW1N,Seatrain,4LPvNsd8x4vqhqvy67OQCe
My Life Is Totally Boring Without You,,Cracker,
Gavel Obliterated,,Chris Clark,
Calliope,5lUYUAWH86uNqB5LaiUeaS,Al Di Meola,3bBWKHfpepPOychRNFzg4q
Aya Benzer 2003 (Moonlight),,Mustafa Sandal / Gülcan,
Fire in the Hole,5LhhIzB7eXndzLFzQ4RjNw,The Elders,1vV4PNRH6SBycDRxAz4YXt
So Different Blues,7KTF8lEGNY7BZjRiEsDluP,Mance Lipscomb,7jmGjfkkVOjBdjf54YHhwg
Cuantas Madres Llorando,,Los Chunguitos,
Opening,,Harald Kloser / Thomas Wander / Thomas Schobel,
Lived My Life,5bCILBV99LIxxgu7Pn29Za,Singing Melody,1I6w9pHnP2Wo6ygwgpKuHQ
Dipset (Santana's Town) (Skit),,Juelz Santana / Freekey Zeekey / Monique Garnett,
Do You See The Light (Deep Ethno Mix),,SNAP!,
Pépètes,3qveiiHC0ULFyuITZqqvOB,Java,2EaYvd5IQJYvfc7o44RKJi
Cha Cha Cha,,The Rodeo,
Save My Soul (Cypher UK Radio Edit),,Kristine W.,
Buenos Aires (De Tus Amores),72C8VlulnOnpAezQG3LPju,León Gieco,5yoimVE1rbc3kAx4uwr7eq
It's Four In The Morning,6YfNVDgakhuHsWUjptaBIO,Faron Young,6uvq6FeVsmhOWfJHxVNeBL
The Interrogation,,Paul Buckmaster,
Song Without End,5iUA8f4w4gCugEJ3TCCQvf,Paul Avgerinos,06iIl4IfaJnZ19GqOovQAn
Supermassive Black Hole (Album Version),,Muse,
Show Me (Acoustic Version),,Seal,
Background Music: The Greatest Ever Punk Sing-Along! (Live),,The Prefects,
Y.O.U. (Album Version),,Lonestar,
6TH Avenue Nightmare,,Pennywise,
Cuatro Estrofas,6n8PaGkMWbdty5FHqTcElJ,Sandra Mihanovich,34wPpdJXRno0eRFI5IAOYh
Climax (Instrumental Mix),,Slum Village,
Give It Up Or Let Me Go,,Dixie Chicks,
BOMB SQUAD,,Bomb Squad,
Le Chat du Café des Artistes,7jiyWF0n7mcUoSJnhxX4dv,Charlotte Gainsbourg,2rBcvLKWCZs9w1qIWv560v
Joy to the World,0kq3kvNzXnixB9WLoaxoqP,The Jordanaires & Orion,4s9LnVhgV5fvtAhzhkRAFs
Don't Know How To Be,,God Lives Underwater,
I'm Back,,Eminem,
Althea Cooley,4Bh9vSw01TGQipCVpmUa5m,Mack and Jamie,7DlkttIuCeTEKVyAcMPpQX
Yearning Just For You,2V6eqS4RyOGLr6A5pNwTbJ,Bob Wills,3YeRGjR8sa1PHjTUMjqsQg
Sincerely,6eJZOeFIHxyLNxeheXB0PK,Don & Juan,7gArjmSS1gJuofpu4vHtCI
ONE WAY LOVE,,An Cafe,
Merry-Go-Runaround,,Bob Hope,
Canción De Títeres,3yPmOflbBzUctLYuCVMRoS,María Elena Walsh,5gMEZRCMq0gWA3kuCPukEk
Devil's Daughter,2Aw4BhVku3auZjZyFeXr7t,Eric Burdon,3miNucraVWk4hdVsIxn7id
The Taking Of Angelique,,Dark Shadows,
Question Authority,5TS4qrO34nNrCMV5VKIIFq,Circle Jerks,4ubY8RYfXkcEqgjEMDuLYl
4tx.31b,,S.U.P,
Loup Garou,,Deville_ Willy,
Oh No,2P5FVZ90DJNEKF700Tz9if,Daniel Johnston,1jeYbk5eqo6wgsQPjLeU5w
So Many Reasons,28abPJWLtDPXBZA21K7gLA,Jake Hess,2o1riwT1VFvl7k6E4WnuRd
32 Lines (Album Version),,Sophie B. Hawkins,
Levallois Monte Carlo,,Georges Parys,
Dragonfly,0t1CIfedJw9trqT9P8AtsN,Diesel Boy,2agAYKDv3WcwXt4nKmDThj
Fading Lady Light,5KTla7tJYMlqT0f9nYxa08,Jefferson Starship,3HC7NcxQx2Yk0fWoRKJ0xF
The Croppy Boy,1Juw7k79dlPD5cUqKPNrhw,The Irish Tenors,2QehFI9eDvwgtDxEharMPu
Many Are We,5KbyTMn0b4JhsfELSFP8EB,Keep Of Kalessin,1Oos40mD8hfvswQWVjkbg5
Play The Part,,Eyes Set to Kill,
Cajun Honey (Cajun Lovin' Style),2P2gqHfmJWLorN0GDnpzHG,Rod Bernard,43BqXck54700EkPfzu1yex
Sloppy (I Saw My Baby Gettin'),,Devo,
Reminissin',,Geiom Feat. Marita,
Caseta del Plater,13GJxA2L73BqqD987ZwkuB,Pep Laguarda & Tapineria,5mbcu5L0opYQ2exGAucU3m
2 People,,Ann Lee,
In Fate's Hands (Album Version),,The Red Jumpsuit Apparatus,
Tem Do de Mim (Live At El Matador_ San Francisco),,Sergio Mendes,
Salvation,12fGMDjr9oxSKWDrE6D1GL,Chroma Key,6Bgd1CCQAWWqGbkmJsivLv
Till There Was You (John Creamer & Stephane K Remix),,Rachael Starr,
I Love No One But You,,Don Gibson,
A história do incêndio do jequitibá de Carangola (Part 1),,Hélio Ziskind,
Shame,,Anna Abreu,
Arise_ My Love (Song Of Solomon),,Michael Card,
Two Guitars Shuffle (take 1),,Lonnie Brooks,
What If I Forget The Champagne,,Stanley Clarke,
Listen,7ehLYt3aiKn8gXedyUk4GG,Mykill Miers,5kyyEWHxZVzLoaiQmiV6DD
Elementro,,TEN MADISON,
Meteor Of War (Album Version),,Rancid,
Kangaroo Blues,,Moon Mullican,
Remember (Walkin' In the Sand),,The Shangri-Las,
Tappin' Out (LP Version),,The Katies,
The Stranger,42cxGI452dmBWVdjdefkUC,James Horner,3PhL2Vdao2v8SS8AptuhAr
A.C.A.B. (Bumper Sessions),,4 Skins,
Nanã,57BERFA4iDB81kAXIvgKsr,Mario Telles,252wT9gSG48OwJmkDJ1g9g
NOT IN LOVE,,The Scare,
Are You There (With Another Girl),68M5ez5cDpgxJj0htSmCIf,Burt Bacharach,35y7CZMg7jbG8Q96JY7dyC
Intro,,The Chi-Lites,
No Good In Goodbye,,Jason Michael Carroll,
Copacabana,,Sivuca,
I Wanna Be Where You Are,3mnVgyzn5HC7Sqkn3B5zHs,Michael Jackson,3fMbdgg4jU18AjLCKBhRSm
