song_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Screamin' & Hollerin' The Blues,Alvin Youngblood Hart,0.708,0.403,0,-7.931,0,0.0389,0.864,0,0.136,0.603,111.317,210493,4
Dholna Dholna,Naseebo Lal,0.554,0.49,0,-11.945,1,0.0364,0.262,0.041,0.201,0.721,76.302,376173,4
Parchman Farm,Hot Tuna,0.558,0.196,1,-17.85,0,0.0364,0.856,0.309,0.455,0.358,123.578,372307,4
A Lo Clasico,Daddy Yankee,,,,,,,,,,,,,
Zhi Xiang Ni hui Yi,Hacken Lee,,,,,,,,,,,,,
Amaze,Jimmy Riley,0.699,0.654,1,-5.724,1,0.0326,0.381,1.72e-06,0.208,0.595,159.816,216360,4
Radio Rape,The Cortinas,0.656,0.45,9,-7.368,1,0.0586,0.00601,0.00427,0.0572,0.802,140.481,232600,4
Ain't No Game,Masta Ace Incorporated,,,,,,,,,,,,,
Cavaleiro De Aruanda,Jongo Trio,,,,,,,,,,,,,
TELL ME WHY,George Nooks,0.742,0.475,7,-6.943,1,0.182,0.497,1.5e-06,0.298,0.863,76.034,221907,4
Czwarty,Energy,0.471,0.876,9,-6.074,1,0.0515,0.00356,0.0134,0.346,0.663,174.871,310933,4
Washington Post (1998 Digital Remaster),Felix Slatkin/Concert Arts Symphonic Band,,,,,,,,,,,,,
No Pienses Asi,Eddie Palmieri,0.532,0.21,10,-17.299,0,0.0387,0.583,9.89e-05,0.078,0.447,138.023,266507,4
Cavalleria Rusticana,William Orbit,0.459,0.156,5,-18.99,1,0.0708,0.958,0.912,0.176,0.382,117.725,199867,4
Forever,Chris Brown,0.672,0.82,11,-4.456,1,0.0459,0.0368,0.000188,0.184,0.438,120.005,278573,4
Amor a Medias,HA-ASH,,,,,,,,,,,,,
15 Step,Radiohead,0.598,0.854,1,-7.584,1,0.0422,0.0477,0.338,0.0934,0.844,94.458,237293,4
I Love Your Way,Kashief Lindo,0.712,0.676,9,-4.853,1,0.0802,0.0823,2.59e-06,0.0658,0.575,156.964,210520,4
Lookin' For Me Somewhere,BoDeans,,,,,,,,,,,,,
Raise Your Hands,Bon Jovi,0.456,0.956,2,-3.086,1,0.0423,0.0607,0.00198,0.0728,0.527,136.283,256733,4
Rainbow Dance,John Tchicai,0.407,0.0341,3,-32.875,0,0.0433,0.941,0.895,0.332,0.0397,72.991,182347,4
Champagne & Reefer,Bongzilla,0.28,0.819,4,-4.095,1,0.0391,0.00154,0.828,0.112,0.734,97.085,286587,4
No More Doggin',Otis Spann,0.544,0.547,7,-12.198,1,0.0383,0.282,0.000506,0.284,0.9,125.104,180667,4
I Need a Veggie,John Holt,0.919,0.554,4,-8.092,0,0.127,0.277,0,0.284,0.814,131.416,231067,4
Get Happy,Danny Wilson,,,,,,,,,,,,,
I'll Wait for You Dear,Al Dexter,,,,,,,,,,,,,
From Afar (Album Version),Van Halen,,,,,,,,,,,,,
Cry For Love,Capleton,0.724,0.814,8,-9.155,1,0.38,0.18,0,0.109,0.82,184.801,172720,4
Uncle B.S. - 1963,Tim Wilson,,,,,,,,,,,,,
Wohär dr Wind wäiht,Kisha,0.686,0.585,0,-6.675,1,0.0457,0.388,0,0.149,0.251,76.422,203040,4
Volumatic Spacer Device,The Chap,0.891,0.439,9,-7.192,1,0.0975,0.694,0.194,0.121,0.493,123.078,207227,4
Putt Jhatt Da Gulabi Phull Varga,DJ Vix,,,,,,,,,,,,,
Namibia,Ziggy Marley And The Melody Makers,,,,,,,,,,,,,
Unlearn,Crematorium,0.315,0.896,11,-7.242,1,0.253,8.93e-05,0.0769,0.628,0.381,122.064,210133,4
Vargbrodern Talar,Månegarm,0.505,0.735,4,-6.368,0,0.0424,0.414,0.0114,0.112,0.375,163.001,92773,4
Sweet Lady,Ernest Ranglin / Floyd Lloyd,,,,,,,,,,,,,
Forever,Franco,0.568,0.698,9,-6.697,1,0.0243,0.0164,0.000135,0.219,0.293,91.977,255520,4
3,Britney Spears,0.697,0.709,5,-1.917,0,0.0455,0.0452,0,0.138,0.787,134.91,213173,4
Sleuthing,Danny Elfman,,,,,,,,,,,,,
Meet Me in the City,Junior Kimbrough,0.566,0.64,2,-7.88,1,0.0249,0.903,0.474,0.134,0.332,133.53,151360,4
Drama  (LP Version),Liquid Gang,,,,,,,,,,,,,
Oh What A Feeling,Everly Brothers,,,,,,,,,,,,,
So hell mit Klause Duo,Flowin Immo et Les Freaqz,,,,,,,,,,,,,
Concerto For Saxophone (Quartet Version): Movement IV,Philip Glass,,,,,,,,,,,,,
Llama y Verás,Luis Alberto Spinetta,0.536,0.246,2,-15.451,1,0.0362,0.68,0.328,0.108,0.196,98.985,209507,3
Heyya Heyya,Ramy Ayach,,,,,,,,,,,,,
Misty Valley,Frank Chacksfield & His Orchestra,,,,,,,,,,,,,
Sehnsuchtsexpress,Frl.Menke,,,,,,,,,,,,,
Come Alive,Agnostic Front,0.203,0.964,7,-5.274,1,0.0648,1.07e-05,0.00157,0.294,0.435,84.412,122187,4
Spitting Games,Snow Patrol,0.498,0.885,7,-3.922,1,0.0291,0.00055,0.034,0.574,0.563,145.217,226027,4
Drones,Rise Against,0.509,0.996,8,-3.741,1,0.0598,8.19e-05,9.96e-06,0.0545,0.365,104.671,181600,4
Do Your Will (Album Version),The Rance Allen Group,,,,,,,,,,,,,
Check the bomb,Refractory,,,,,,,,,,,,,
System of Play,Theodor Zox,0.802,0.824,2,-12.225,0,0.0656,0.00393,0.904,0.0987,0.366,126.006,382000,4
Trying To Get To Heaven,Bob Dylan,,,,,,,,,,,,,
Birch,Maximilian Hecker,0.255,0.179,5,-10.383,0,0.0335,0.955,0.0329,0.113,0.0393,76.012,259146,3
Same Old Thing,Albert Collins,0.712,0.591,0,-11.609,1,0.0394,0.12,0.00135,0.0454,0.737,94.485,356200,4
Voodoo Doll,Fergie,0.821,0.524,8,-6.361,0,0.0657,0.11,0.000965,0.233,0.697,130.045,263067,4
Nerio Compra Una Contestadora,Los Amigos Invisibles,0.599,0.257,11,-20.466,0,0.305,0.971,0.0432,0.111,0.746,88.278,24333,4
Killer (Single Version),Seal,0.681,0.798,5,-8.361,0,0.0494,0.0354,0.0116,0.102,0.867,118.053,257493,4
Sunset Manifesto,Flink,0.549,0.836,6,-5.934,0,0.045,0.00232,0.286,0.112,0.763,147.948,161453,4
From My Hands,Salt The Wound,0.262,0.937,2,-5.33,1,0.244,2.22e-05,0.199,0.0741,0.228,89.718,241560,4
Tanz,ZENFU,,,,,,,,,,,,,
Coming Back For More feat. Colin Corvez,Daniel Paul,,,,,,,,,,,,,
Paradise In Your Eyes,Winston Reedy,,,,,,,,,,,,,
Isku Pitkästä Ilosta,Korpiklaani,0.423,0.967,7,-4.784,1,0.0361,4.13e-06,0.277,0.119,0.675,99.997,250840,4
The Way I Am,Eminem,0.785,0.871,4,-2.692,0,0.265,0.144,0,0.309,0.315,87.248,290427,4
One More Ride (Digitally Remastered),Johnny Cash,,,,,,,,,,,,,
Can't Help Falling In Love,Brian Dullaghan,,,,,,,,,,,,,
Drunk Driving Tip,Dezz White,,,,,,,,,,,,,
Que Vuelvas,Shakira,0.688,0.917,2,-7.449,1,0.0314,0.0185,0.00241,0.0712,0.788,123.873,230800,4
I'm In The Mood For Love,Roger Williams,,,,,,,,,,,,,
Yesterdays,Gonzalo Rubalcaba,,,,,,,,,,,,,
Concertino for Bass Trombone and Trombone Choir,David Taylor,,,,,,,,,,,,,
De Tha Mai Edo,Domna Kountouri,0.657,0.792,3,-8.264,0,0.049,0.47,0.000138,0.0895,0.645,99.961,211227,4
Rachel's retribution,Anne Dudley,,,,,,,,,,,,,
A Goodnight's Sleep,The Starting Line,0.487,0.742,4,-4.788,1,0.0355,0.000203,0,0.118,0.174,142.016,262667,4
Mui Mal_ Animal,L.A.V.I,,,,,,,,,,,,,
Cup Horn,TEN MADISON,,,,,,,,,,,,,
Am I That Easy To Forget,Carl Belew,0.596,0.379,2,-11.296,1,0.0304,0.866,0.00551,0.266,0.545,111.696,155267,3
Vitamina,Sonora Carruseles,0.675,0.785,5,-8.232,1,0.055,0.391,0.111,0.106,0.745,108.31,230373,4
The Haunting,The Misfits,,,,,,,,,,,,,
All or Nothin' Gal,Jessie Lee Miller,,,,,,,,,,,,,
Some Kind Of Zombie (Criscoteque Remix),Audio Adrenaline,,,,,,,,,,,,,
A Veces Hablo De Ti,Tito Allen,0.8,0.483,5,-14.349,0,0.0615,0.388,0,0.118,0.829,91.867,322227,4
Old Fashioned Baby,Pee Wee Crayton,,,,,,,,,,,,,
Just Say Yes,Dickies,,,,,,,,,,,,,
Faithkeeper_ Part 1,David & Steve Gordon,,,,,,,,,,,,,
Children Of Love,Abijah,0.469,0.15,2,-17.682,1,0.0546,0.097,0,0.344,0.318,163.645,204787,4
Afro Profondo,Daniela Dessì,,,,,,,,,,,,,
Lihava enkeli,Murskahumppa,,,,,,,,,,,,,
Killing Me Softly With His Song,CoCo Lee,0.527,0.625,7,-9.022,1,0.085,0.556,1.4e-05,0.877,0.185,100.716,310533,4
Girl You Need My Love,Doniki,,,,,,,,,,,,,
Love Theme (The Falling In Love),Burt Bacharach,,,,,,,,,,,,,
Roller Derby,Leon Russell,0.812,0.51,5,-12.479,0,0.038,0.811,0,0.12,0.956,120.433,145493,4
Are You Ever Gonna Love Me?,Jimmy Wayne,0.38,0.544,7,-5.399,0,0.0284,0.473,1.28e-06,0.137,0.136,142.499,229960,4
Turn Up The Bass,Fast Eddie featuring Kool Rock,,,,,,,,,,,,,
So deep,Ann Lee,,,,,,,,,,,,,
Collecting Dust,Life Long Tragedy,0.218,0.759,7,-6.175,1,0.0558,0.000146,0.00736,0.252,0.214,121.309,204973,5
You Had Me From Hello (Lullaby Rendition of Kenny Chesney),Hushabye Baby,,,,,,,,,,,,,
Nothing's Clear (Album Version),Ill Nino,,,,,,,,,,,,,
You Must Do Your Best Tonight / I Represent/Animal Crackers,The Marx Brothers,,,,,,,,,,,,,
French Suite: A Paris Thing,William Goldstein,0.258,0.0317,3,-29.294,1,0.0387,0.993,0.89,0.0729,0.166,174.927,274634,3
Oh Scat Mix Up,Tim Exile,,,,,,,,,,,,,
The Modern World,The Jam,0.388,0.825,9,-10.555,1,0.0557,0.0015,3.94e-06,0.138,0.853,159.744,150627,4
I'm Not A Loser,Descendents,,,,,,,,,,,,,
De Paris Un Caballero,Barbarito Diez,0.503,0.606,5,-6.857,1,0.0459,0.88,0,0.0482,0.963,147.786,157913,4
T-Ball and Indian Guides (LP Version),Bill Engvall,,,,,,,,,,,,,
La Rue Du Babouin,Françoise Hardy - Maurane,,,,,,,,,,,,,
Big Bounce,David Arkenstone,0.763,0.413,6,-13.419,0,0.0324,0.0451,0.622,0.0439,0.698,108.012,274040,4
Summer Summer,The Almost,0.435,0.83,4,-5.305,0,0.0407,0.00022,0,0.153,0.211,136.175,240853,4
Bubblin' (Anita Demo),Camp Lo,,,,,,,,,,,,,
Couldn't Stand The Weather,Stevie Ray Vaughan And Double Trouble,,,,,,,,,,,,,
In Style,David Johansen,0.475,0.891,9,-7.068,1,0.042,0.0776,1.49e-05,0.322,0.816,131.229,247987,4
Closin' Moes,Jeff Massanari Trio,,,,,,,,,,,,,
Portobello Lass,Harry Lauder,,,,,,,,,,,,,
Trumansburg Whistle,Gershon Kingsley,,,,,,,,,,,,,
Reuben James,Kenny Rogers,0.502,0.735,4,-12.342,1,0.155,0.0939,0,0.266,0.891,203.162,159133,4
Rock Steady,Bad Company,,,,,,,,,,,,,
Sporable,Winifred Phillips,0.428,0.3,0,-13.723,1,0.042,0.847,0.336,0.182,0.144,130.142,142867,1
The Waiting,Zombina & The Skeletones,0.231,0.838,10,-5.264,1,0.0569,6.6e-06,0.555,0.526,0.223,92.937,145520,4
Grey Skies Turn Blue,MxPx,0.39,0.765,11,-3.27,1,0.0432,4.36e-05,0.00509,0.0506,0.724,175.433,184040,4
Wraparound Shades (Album),Zumpano,,,,,,,,,,,,,
The Earth Isn't Humming,Thrice,0.697,0.713,9,-8.101,1,0.0285,0.231,0.000286,0.11,0.922,142.029,298627,4
Champion (World),Davol,,,,,,,,,,,,,
Heart Breakin' Blues,Cannon's Jug Stompers,0.481,0.277,11,-12.926,1,0.065,0.969,0.199,0.145,0.752,141.031,186907,4
Year Zero,30 Seconds To Mars,,,,,,,,,,,,,
Satisfaction,Who Made Who,,,,,,,,,,,,,
I Can't Help Myself,Tyrone Davis,0.6,0.424,5,-10.389,0,0.0338,0.671,1.08e-05,0.0827,0.663,169.747,277427,3
Autofokus,K.I.Z.,,,,,,,,,,,,,
Tango Andorra,Aimable,0.538,0.198,0,-14.963,1,0.0296,0.839,0.891,0.252,0.483,106.857,180662,4
King Jesus Is My Captain,Birmingham Jubilee Singers,0.709,0.0443,8,-14.115,1,0.0384,0.989,0,0.151,0.765,76.101,183223,4
I've Grown Accustomed To His Face I've Grown Accustomed To His Face,Shelby Flint,,,,,,,,,,,,,
Profound Sound (Take Two Album Version),Ill Harmonics,,,,,,,,,,,,,
She's My Mary,Lonnie Johnson,0.626,0.225,10,-12.952,1,0.0438,0.988,0.000859,0.14,0.715,130.891,180245,4
Livin' In a Strain,Alvin Youngblood Hart,0.649,0.219,2,-12.227,1,0.0402,0.963,0.131,0.0773,0.52,112.9,231067,4
The Little White Cloud That Cried,The Knightsbridge Strings,,,,,,,,,,,,,
Amor que terminó,Los Solitarios,0.727,0.578,4,-9.473,1,0.0298,0.383,0,0.122,0.919,129.342,179560,4
Tell Me What I Want to Hear,The Dils,,,,,,,,,,,,,
Red Sky,Thrice,0.536,0.738,2,-4.794,1,0.0444,0.00596,0.0416,0.107,0.117,141.476,257747,4
Symphony No. 7 in A Major_ Op. 92: I. Poco sostenuto - Vivace,Herbert von Karajan and Turin RAI Symphony Orchestra,,,,,,,,,,,,,
Above The Rainbow,Flora Purim,0.208,0.376,1,-15.034,1,0.037,0.656,0.00301,0.392,0.0874,121.113,208067,4
Strike While the Iron is Hot,Kenny Neal,,,,,,,,,,,,,
Shouther to Shouther (Shoulder to Shoulder),Harry Lauder,,,,,,,,,,,,,
Prem,Joi,0.591,0.777,11,-5.743,1,0.0343,0.000127,0.724,0.564,0.339,120.01,425133,4
Suicide,Aceyalone,0.667,0.897,1,-4.031,0,0.258,0.0818,0,0.0788,0.856,97.613,170147,4
Caribou Lou,Tech N9ne,0.784,0.815,1,-2.703,1,0.298,0.127,0,0.0758,0.559,178.119,271813,4
Day Or Night [Live Album Version],Little Feat,,,,,,,,,,,,,
El Vino Triste,Los Auténticos Decadentes,0.477,0.507,0,-7.083,0,0.0483,0.468,0,0.968,0.683,117.044,173888,4
Wishlist,Pearl Jam,0.623,0.342,0,-8.694,1,0.038,0.0134,0.00412,0.106,0.101,115.032,206587,4
Santa Barbara,Chaka Demus & Pliers,,,,,,,,,,,,,
Playboy,Teena Marie,0.72,0.925,1,-5.44,1,0.0845,0.213,0.00064,0.112,0.913,97.365,321360,4
Jugglin' Clown,Christian Quast,,,,,,,,,,,,,
Things i say,Wilks,,,,,,,,,,,,,
Groovitation (Album Version),Deodato,,,,,,,,,,,,,
Christmas All The Time (Acoustic),Tom Cochrane,,,,,,,,,,,,,
Role Model,Steel Pulse,0.816,0.601,1,-6.396,0,0.272,0.0184,0,0.0117,0.756,77.993,262973,4
Virtuosite Musette,Edouard Duleu,,,,,,,,,,,,,
Since The Last Time,ARRESTED DEVELOPMENT,,,,,,,,,,,,,
Michelle (LP Version),Bela Fleck And The Flecktones,,,,,,,,,,,,,
We´ve Only Just Begun,Bitty McLean,,,,,,,,,,,,,
Porque Nos Queremos,Los Chichos,,,,,,,,,,,,,
Obvious ( LP Version ),Jane's Addiction,,,,,,,,,,,,,
Frei zu sein,In Extremo,,,,,,,,,,,,,
Grown & Sexy,DJ Omega,0.762,0.54,0,-10.538,0,0.0538,0.0253,0.725,0.125,0.181,154.987,204387,4
Grustnaja,Markscheider Kunst,,,,,,,,,,,,,
Epaule tattoo (Live 1989),Étienne Daho,,,,,,,,,,,,,
Goons Lurkin (Instrumental Album Version),Plies,,,,,,,,,,,,,
Wolf In Sheep's Clothing,Jeff And Sheri Easter,,,,,,,,,,,,,
Lost Circles,React,,,,,,,,,,,,,
Pussy Hole,DJ Nasty,0.77,0.414,11,-13.343,1,0.174,0.00179,0.0654,0.139,0.719,150.017,194413,4
El Cumbanchero,Günter Noris,,,,,,,,,,,,,
El divertido,Orquesta Sublime,,,,,,,,,,,,,
Blackwood Moth,Milieu,0.708,0.286,10,-13.724,1,0.143,0.0112,0.87,0.138,0.736,174.06,371867,4
Dreaming Of April,Out Of The Grey,0.32,0.482,7,-8.982,1,0.0354,0.509,1.37e-06,0.0763,0.289,175.139,225512,4
New Sensation,Snow Patrol,0.68,0.373,4,-14.407,1,0.0314,0.528,0.000193,0.0911,0.311,115.029,214932,4
For The Good Times,Dart,0.62,0.503,0,-9.75,1,0.0631,0.00557,0.00383,0.511,0.689,147.959,340533,4
Clever Girls Like Clever Boys Much More Than Clever Boys Like Clever Girls,Pelle Carlberg,0.584,0.793,9,-5.758,1,0.0339,0.0786,1.86e-05,0.131,0.913,84.93,248333,4
Never Alone,Open Hand,0.243,0.8,9,-7.798,0,0.148,0.0596,0.117,0.377,0.177,86.235,487053,4
Chatterbox,Sex Pistols,0.25,0.775,4,-5.715,0,0.0381,1.77e-06,0.899,0.366,0.38,146.752,111080,4
Sporco Ma Distinto,Ennio Morricone,0.703,0.401,4,-9.711,0,0.0318,0.811,0.801,0.0583,0.542,90.57,104347,4
Elle Et Moi,Koffi Olomide,0.695,0.685,7,-8.674,1,0.0419,0.466,0.000607,0.0454,0.93,112.458,293267,4
Columbus Stockade Blues,Charlie McCoy,0.691,0.332,3,-13.373,1,0.0381,0.0423,0.766,0.0968,0.815,113.166,197800,4
Damn That Radio [Live],The Wreckers,,,,,,,,,,,,,
Camisa Amarela,Gal Costa,0.723,0.519,0,-10.508,1,0.112,0.348,1.13e-05,0.148,0.644,118.054,171867,4
Style,Enuff Z Nuff,,,,,,,,,,,,,
It's My Party,Lesley Gore,0.692,0.501,9,-11.708,1,0.0625,0.368,0,0.0393,0.961,128.388,140000,4
Keep The Circle Around,Inspiral Carpets,,,,,,,,,,,,,
Wot U Say,Various Production,0.502,0.786,7,-8.934,0,0.0365,0.0199,0.00123,0.0683,0.86,145.131,192000,4
Xiang Zai Le Huo,Eason Chan,,,,,,,,,,,,,
Birth Of The Falls,Stephen Warbeck,0.0962,0.262,9,-14.738,0,0.0369,0.825,0.963,0.359,0.0754,67.16,123627,4
What'll I Do For Satisfaction (LP Version),Johnny Daye,,,,,,,,,,,,,
Portraying Light With Rainbow Colored Crayon,An Cafe,,,,,,,,,,,,,
For Me This Is Happy,Gene Pitney,0.414,0.187,10,-12.132,1,0.0395,0.95,0.000197,0.12,0.449,78.041,146653,3
Ithaki,Peggy Zina,0.699,0.167,10,-12.755,0,0.0322,0.887,0,0.0905,0.497,107.803,177574,4
Guilty Partner,New Order,0.587,0.897,4,-9.115,0,0.0365,0.223,0.0547,0.13,0.899,146.106,288933,4
Delilah,The Sensational Alex Harvey Band,0.283,0.828,5,-8.204,1,0.0524,0.00407,0.00151,0.961,0.524,180.626,312333,3
La Rosa (Live),Bobby Pulido,,,,,,,,,,,,,
"""""""Let's Call Him """"""""Andre""""""",Bruce Rowland,,,,,,,,,,,,,
Our Lady Of Fatima,Kitty Kallen,,,,,,,,,,,,,
Syvä meri (Oceano),Kari Tapio,,,,,,,,,,,,,
I Got A Seecret,Redman,0.637,0.838,11,-8.441,0,0.365,0.00633,0,0.126,0.235,113.157,209600,5
Reprise: Tú mi delirio - Guajira - Si te contara - El manisero,Chucho Valdés,,,,,,,,,,,,,
Te Miattad Változott Meg Az Életem,Belami,0.639,0.856,7,-8.388,1,0.0281,0.0256,0.355,0.201,0.972,140.057,237213,4
Banda Yango,Tshala Muana,0.657,0.934,7,-5.224,1,0.0432,0.4,0.328,0.0619,0.967,127.95,390627,4
Song For Love,Extreme,0.253,0.701,8,-7.878,1,0.0384,0.0186,6.94e-06,0.323,0.377,145.332,355600,4
Nachts um halb drei,Janina,,,,,,,,,,,,,
Iron Man,Mat Maneri,0.662,0.0473,11,-15.719,0,0.15,0.994,3.33e-05,0.133,0.553,135.08,193333,4
I Constantly Thank God For Esteban [Live In Chicago],Panic At The Disco,,,,,,,,,,,,,
000GrandPno,Pumpkin Buzzard,,,,,,,,,,,,,
Pai Keros,Christos Dantis,0.527,0.286,11,-11.369,0,0.0316,0.643,0,0.178,0.113,66.043,248693,4
Tuesday Afternoon,The Moody Blues,0.457,0.271,0,-14.571,1,0.0309,0.196,0.0312,0.126,0.248,113.935,291733,4
As We Lay,Fiona,0.686,0.736,1,-5.556,1,0.145,0.386,8.3e-06,0.0464,0.96,82.718,228680,4
Forever You Reign (Album),Nicole C. Mullen,,,,,,,,,,,,,
Tema Da Desilusão (Garota De Ipanema),Orquestra,,,,,,,,,,,,,
Healing Power,Virgil Moorefield,,,,,,,,,,,,,
The Anthem,Hatiras,0.581,0.827,11,-6.274,0,0.313,0.000499,0.385,0.329,0.413,132.011,298187,4
Disco Trafiko,Trafik,0.527,0.996,5,-8.388,1,0.038,6.95e-05,0.811,0.657,0.6,127.991,265760,4
Rant Kanaria,Jope Ruonansuu,0.73,0.379,9,-9.169,0,0.0381,0.596,6.78e-05,0.0594,0.415,110.922,211640,4
Blackwords Masking,This Moment In Black History,,,,,,,,,,,,,
Clavelitos,Joselito,0.543,0.358,9,-8.196,1,0.0299,0.882,0,0.864,0.819,95.986,159760,3
The Gift,Natalie Cole,,,,,,,,,,,,,
Tomorrows Girls (Live),UK Subs,,,,,,,,,,,,,
O Dikos Sou DJ,Imiskoubria,0.737,0.708,7,-6.853,1,0.128,0.0346,0,0.386,0.475,97.197,208453,4
Little Brother,Grizzly Bear,0.256,0.311,4,-13.63,0,0.0291,0.9,0.436,0.572,0.191,86.886,384680,4
Polly,Nirvana,0.83,0.382,2,-11.231,0,0.0566,0.884,0.301,0.11,0.54,121.12,173853,4
Ol' Frank,George Jones,0.554,0.246,5,-15.467,1,0.035,0.566,0,0.184,0.317,131.509,166493,3
Be Aware,SOJA,0.648,0.551,4,-7.989,0,0.152,0.0106,0,0.0459,0.494,79.125,250803,4
The Chance,Julie Roberts,0.521,0.288,1,-11.907,1,0.045,0.591,0,0.104,0.116,139.95,287520,3
Abbeville Fair,Seatrain,0.587,0.727,2,-5.659,1,0.0429,0.0879,0.000318,0.0568,0.476,108.197,294480,4
My Life Is Totally Boring Without You,Cracker,,,,,,,,,,,,,
Gavel Obliterated,Chris Clark,,,,,,,,,,,,,
Calliope,Al Di Meola,0.584,0.395,0,-17.132,1,0.0309,0.019,0.723,0.133,0.408,110.022,257293,4
Aya Benzer 2003 (Moonlight),Mustafa Sandal / Gülcan,,,,,,,,,,,,,
Fire in the Hole,The Elders,0.546,0.804,9,-5.742,0,0.0293,0.0473,0.00172,0.102,0.664,149.819,241737,4
So Different Blues,Mance Lipscomb,0.506,0.255,5,-14.763,0,0.043,0.916,0,0.153,0.567,78.969,185333,4
Cuantas Madres Llorando,Los Chunguitos,,,,,,,,,,,,,
Opening,Harald Kloser / Thomas Wander / Thomas Schobel,,,,,,,,,,,,,
Lived My Life,Singing Melody,0.625,0.565,3,-6.135,0,0.0783,0.278,0,0.0542,0.86,81.457,235707,4
Dipset (Santana's Town) (Skit),Juelz Santana / Freekey Zeekey / Monique Garnett,,,,,,,,,,,,,
Do You See The Light (Deep Ethno Mix),SNAP!,,,,,,,,,,,,,
Pépètes,Java,0.657,0.841,6,-6.505,0,0.191,0.146,0,0.103,0.853,91.582,240760,4
Cha Cha Cha,The Rodeo,,,,,,,,,,,,,
Save My Soul (Cypher UK Radio Edit),Kristine W.,,,,,,,,,,,,,
Buenos Aires (De Tus Amores),León Gieco,0.617,0.395,7,-9.623,1,0.028,0.328,0.000314,0.18,0.481,81.863,307667,4
It's Four In The Morning,Faron Young,0.457,0.293,9,-15.665,1,0.0321,0.579,2.61e-06,0.319,0.484,126.754,178493,3
The Interrogation,Paul Buckmaster,,,,,,,,,,,,,
Song Without End,Paul Avgerinos,0.198,0.189,9,-17.325,1,0.0354,0.965,0.764,0.0917,0.032,67.933,324507,4
